Status,PageTime_ms,TotalServerTime_ms,TotalBrowserTime_ms,Action_count,Api_count,Db_count,DbTime_ms,Xhr_count
Success,2115,2519,1809,13,59,325,474,10
Success,2162,2241,1627,13,50,289,532,10
Success,2206,2085,1706,13,50,293,517,10
Invalid,2324,2181,1762,13,52,287,505,10
Success,2204,2023,1679,13,50,289,525,10
Success,2091,2015,1621,13,0,0,0,11
Invalid,1901,1781,1039,9,32,154,287,6
Success,2171,2478,1715,13,50,293,606,10
Invalid,2262,2397,1770,13,50,296,487,10
Success,2183,2185,1688,13,59,319,466,10
Invalid,4575,5439,1754,13,52,289,3153,10
Invalid,2465,2591,1874,13,52,289,487,10
Invalid,2186,2321,1664,13,58,319,560,10
Invalid,2436,2397,1765,13,50,329,477,10
Success,2300,2334,1921,13,50,287,519,10
Success,2133,2225,1698,13,50,289,529,10
Invalid,2297,1947,1655,13,50,287,505,10
Invalid,2486,2420,1822,13,59,319,483,10
Success,2182,1960,1603,13,50,287,505,10
Invalid,2500,2408,1860,13,59,317,478,10
Success,2187,1829,1702,13,0,0,0,11
Success,2156,2289,1666,13,50,337,482,10
Success,2120,2536,1632,13,50,287,595,10
Invalid,3888,4055,1626,13,52,287,2125,10
Invalid,2238,1987,1891,13,50,289,505,10
Regression,2505,2167,1596,14,52,285,317,10
Success,2214,1974,1762,13,50,293,525,10
Success,2126,2237,1712,13,50,285,566,10
Invalid,2093,2121,1712,13,50,287,507,10
Success,2224,2089,1764,13,58,318,327,10
Invalid,1067,1145,1048,6,30,153,257,6
Invalid,1926,2194,1364,13,52,285,477,10
Invalid,2341,2339,1699,13,58,319,357,10
Success,2106,2203,1687,13,50,285,537,10
Invalid,2276,2949,1984,12,57,314,177,10
Success,2308,1913,1742,13,50,287,517,10
Success,2150,2257,1657,13,0,0,0,11
Success,2316,2276,1778,13,50,289,577,10
Invalid,2941,2465,2090,13,59,346,488,10
Invalid,2252,2308,1638,13,50,285,543,10
Regression,4781,8245,1753,13,73,536,581,10
Success,2307,2124,1874,13,50,287,528,10
Success,2253,2271,1624,13,50,287,528,10
Success,2246,2399,1611,13,50,287,561,10
Regression,5463,9813,1756,13,73,534,610,10
Invalid,2205,2006,1682,13,50,285,531,10
Invalid,2185,2365,1570,13,50,337,485,10
Success,2330,2316,1730,13,54,286,480,10
Regression,3189,2307,2472,13,57,290,378,11
Invalid,1159,1485,774,6,30,191,266,6
