timeStamp	cnt	avg(runTime)	avg(dbTime)	avg(cpuTime)	avg(vfTime)
16-05-14 03:00	17453	148.795802	105.219661	34.718015	5.292862
16-05-14 04:00	36108	130.15506	88.894258	34.412479	4.644486
16-05-14 05:00	46619	183.326367	103.968841	36.262772	9.411213
16-05-14 06:00	166683	148.223633	59.265584	37.832985	16.478332
16-05-14 07:00	275273	157.968885	62.257341	38.646373	17.617657
16-05-14 08:00	349560	160.175082	62.713245	40.319076	19.444655
16-05-14 09:00	392643	159.310428	59.309743	41.149736	20.00145
16-05-14 10:00	358593	158.865862	59.47008	41.151721	19.757773
16-05-14 11:00	322099	177.593608	72.669999	41.685341	20.56279
16-05-14 12:00	322465	149.546375	45.931842	41.41631	21.031293
16-05-14 13:00	311693	155.385674	47.706959	41.656564	21.148414
16-05-14 14:00	303628	149.09947	43.151736	41.252401	21.157548
16-05-14 15:00	285884	160.130084	53.330738	40.833347	20.302307
16-05-14 16:00	237836	148.51538	46.063691	40.092638	20.206693
16-05-14 17:00	199354	163.219933	51.80651	39.530273	19.158644
16-05-14 18:00	85971	154.302507	68.893418	37.422844	16.625509
16-05-14 19:00	61843	153.166786	75.801172	36.261498	15.844283
16-05-14 20:00	42533	156.452398	99.181066	35.934158	14.505241
16-05-14 21:00	32970	152.687687	95.422101	35.222514	14.61185
16-05-14 22:00	21067	153.435661	92.086389	35.935807	15.272612
16-05-14 23:00	14541	144.838186	86.691534	35.431668	14.567481
16-05-15 00:00	11030	164.916021	73.077347	46.555068	22.758524
16-05-15 01:00	6102	139.268029	77.212295	35.464111	16.071272
16-05-15 02:00	5176	138.051374	73.683393	36.269016	16.758463
16-05-15 03:00	18766	133.628502	90.853697	34.363861	4.341831
16-05-15 04:00	32384	132.916032	85.29871	35.054673	4.282789
16-05-15 05:00	21796	267.441821	183.599347	37.050017	9.753608
16-05-15 06:00	37469	148.769451	83.289053	32.902924	13.80538
16-05-15 07:00	66273	178.43247	101.826096	32.347838	12.498202
16-05-15 08:00	71020	205.34071	132.171423	35.53906	15.182118
16-05-15 09:00	76962	208.122851	130.649768	36.13063	15.432928
16-05-15 10:00	68686	209.620914	131.480934	35.79366	15.087613
16-05-15 11:00	63209	265.295602	184.082318	36.914056	15.013281
16-05-15 12:00	63372	183.990336	105.49221	36.05176	15.448647
16-05-15 13:00	62476	169.059589	85.349945	36.366181	15.676841
16-05-15 14:00	64726	159.807333	80.48727	36.304803	15.757291
16-05-15 15:00	68675	165.846244	84.183309	36.105197	16.191435
16-05-15 16:00	75967	157.714319	80.044056	35.422569	15.395399
16-05-15 17:00	73698	162.258932	83.30713	34.638794	14.551796
16-05-15 18:00	70712	165.553131	81.077047	35.93626	15.57451
16-05-15 19:00	64545	154.112272	80.725914	35.27266	15.143645
16-05-15 20:00	44764	159.15482	103.277359	35.070709	14.118495
16-05-15 21:00	33085	143.595422	91.856656	32.901717	12.920448
16-05-15 22:00	24798	145.975214	90.779512	34.618235	14.088462
16-05-15 23:00	14132	143.315489	85.509118	35.520103	14.843574
16-05-16 00:00	11363	167.873827	74.372324	45.169081	21.67769
16-05-16 01:00	6114	134.272989	73.234039	34.856562	15.601524
16-05-16 02:00	4936	136.692259	77.801343	33.995595	14.706104
16-05-16 03:00	18648	142.01383	102.313319	33.832537	4.090591
16-05-16 04:00	35964	136.310097	92.247991	33.973758	4.626646
16-05-16 05:00	56462	166.436741	90.071683	37.016957	11.113654
16-05-16 06:00	100668	151.283714	75.892313	37.082794	13.288862
16-05-16 07:00	143771	159.897826	77.146617	37.411579	15.065561
16-05-16 08:00	161778	186.470866	100.49247	40.529179	17.243072
16-05-16 09:00	137957	199.39546	104.245507	41.363626	19.959311
16-05-16 10:00	127128	169.468193	72.647023	41.801965	20.046129
16-05-16 11:00	131828	193.230358	95.094943	41.921968	19.532067
16-05-16 12:00	120885	166.453131	72.001021	41.522355	19.67507
16-05-16 13:00	118058	175.789131	77.778301	41.522434	19.529703
16-05-16 14:00	129952	168.569783	73.455665	41.823603	19.539383
16-05-16 15:00	131358	172.679597	80.233219	40.488338	18.404284
16-05-16 16:00	140628	166.039106	74.27371	38.90722	18.162204
16-05-16 17:00	121770	176.734948	82.407344	37.736918	16.63827
16-05-16 18:00	107686	159.64111	80.175587	36.542098	15.678616
16-05-16 19:00	81354	162.172527	89.783451	35.895761	15.18895
16-05-16 20:00	55544	166.757002	110.585249	36.360699	14.129263
16-05-16 21:00	39536	153.360508	97.636311	35.043062	14.47839
16-05-16 22:00	21523	154.05511	94.666393	35.033134	14.675522
16-05-16 23:00	11442	144.80318	89.016447	33.173557	13.494321
16-05-17 00:00	9973	180.697706	76.760792	47.767466	23.236288
16-05-17 01:00	5283	136.154361	74.905296	35.256743	16.088994
16-05-17 02:00	5571	161.678992	86.152568	45.921195	18.744538
16-05-17 03:00	16880	169.881581	128.716743	35.362409	5.169215
16-05-17 04:00	38859	137.446459	97.242393	34.085869	4.813665
16-05-17 05:00	76541	162.073184	88.087641	38.232772	12.287581
16-05-17 06:00	266271	152.2734	53.813702	43.17025	20.546503
16-05-17 07:00	416491	179.270107	60.851175	45.736439	25.398926
16-05-17 08:00	478117	182.445092	58.704666	49.13637	30.839352
16-05-17 09:00	568406	183.48417	58.164159	49.381826	31.161131
16-05-17 10:00	529250	166.413592	49.546328	48.521444	28.470846
16-05-17 11:00	502834	174.83367	57.980869	47.748171	27.282119
16-05-17 12:00	500900	165.724631	49.16885	47.849194	27.772568
16-05-17 13:00	472565	173.729544	54.900112	48.349067	26.784323
16-05-17 14:00	507839	168.387611	50.440371	47.762433	26.372508
16-05-17 15:00	496299	177.22978	57.629929	46.558146	25.471123
16-05-17 16:00	419635	162.596006	53.769499	44.000761	22.729189
16-05-17 17:00	361427	161.237397	56.616873	42.322119	20.945677
16-05-17 18:00	147837	166.300019	77.895793	39.808035	18.10624
16-05-17 19:00	103633	162.741703	87.368021	37.785899	16.661318
16-05-17 20:00	66872	165.171137	106.560855	38.143629	15.175539
16-05-17 21:00	43079	151.524433	95.904038	35.866904	14.73199
16-05-17 22:00	23096	154.852001	94.322858	36.833688	15.424101
16-05-17 23:00	12163	157.45371	91.292683	38.93035	16.261594
16-05-18 00:00	9710	178.3017	75.029051	49.014956	25.150312
16-05-18 01:00	5606	156.447158	82.717428	41.356757	18.212675
16-05-18 02:00	5533	157.569324	88.234039	44.67057	18.381753
16-05-18 03:00	18182	164.471742	122.515955	35.241131	5.803082
16-05-18 04:00	35556	145.585838	100.713109	36.333235	5.870523
16-05-18 05:00	80281	169.788878	88.011867	39.636128	11.502254
16-05-18 06:00	231032	162.057762	62.785622	44.169397	21.022198
16-05-18 07:00	380605	177.564855	65.479041	46.010992	22.877295
16-05-18 08:00	442976	187.781166	72.134823	48.32206	25.407612
16-05-18 09:00	536224	179.046954	63.896342	48.552489	25.221901
16-05-18 10:00	467657	176.1095	63.424222	47.721417	24.805712
16-05-18 11:00	474300	179.160315	67.722511	46.948398	23.80377
16-05-18 12:00	450419	174.624208	62.010827	47.721848	24.832123
16-05-18 13:00	443832	170.408052	56.694223	48.257774	25.045478
16-05-18 14:00	479555	166.543804	52.550401	47.976787	25.484341
16-05-18 15:00	465798	168.529294	54.741583	46.292035	23.664053
16-05-18 16:00	402798	162.283117	53.650628	44.101813	21.794926
16-05-18 17:00	357205	161.677531	60.234747	42.658671	19.729289
16-05-18 18:00	173210	167.679355	83.843464	41.082475	16.262302
16-05-18 19:00	127255	163.942023	85.989955	39.975403	15.407793
16-05-18 20:00	63309	161.44008	101.050692	38.323106	15.242827
16-05-18 21:00	40717	153.928097	94.832724	38.104029	15.62129
16-05-18 22:00	21608	151.655305	91.045351	36.851129	15.118427
16-05-18 23:00	11677	148.522915	87.476815	36.594357	15.209561
16-05-19 00:00	10088	174.393987	72.072305	48.697253	24.23429
16-05-19 01:00	5264	140.779462	80.623928	34.774277	14.726022
16-05-19 02:00	5821	167.303571	88.132395	48.267677	19.705988
16-05-19 03:00	23018	126.602336	86.237476	35.540058	4.500274
16-05-19 04:00	43653	126.524507	85.131307	34.543541	4.663635
16-05-19 05:00	66195	198.89098	104.294396	40.827353	15.514625
16-05-19 06:00	221915	155.06954	54.777107	43.366007	21.375208
16-05-19 07:00	383867	169.503324	59.67221	45.26108	23.235927
16-05-19 08:00	451268	175.542679	61.207035	48.187491	25.726061
16-05-19 09:00	489976	187.421752	65.337395	48.711669	28.400877
16-05-19 10:00	442065	188.537096	64.884943	47.73717	28.978188
16-05-19 11:00	432587	191.438678	70.431328	47.880386	27.529502
16-05-19 12:00	412016	190.200012	66.510191	48.216961	28.61338
16-05-19 13:00	380805	194.849105	67.770766	49.043961	29.456213
16-05-19 14:00	431907	170.144346	52.53066	48.175379	27.452895
16-05-19 15:00	444889	192.149073	64.035461	47.22094	28.689058
