Status,PageTime_ms,TotalServerTime_ms,TotalBrowserTime_ms,Action_count,Api_count,Db_count,DbTime_ms,Xhr_count
Success,2179,2375,1830,13,59,316,460,10
Invalid,1006,1199,1194,7,36,180,227,7
Success,2198,2208,1723,13,50,339,478,10
Success,2110,2421,1592,13,50,285,565,10
Success,2410,2229,1763,13,54,288,482,10
Success,2042,2457,1629,13,50,333,481,10
Regression,2713,3516,1696,13,52,335,514,10
Regression,3182,2287,3328,14,58,290,500,11
Invalid,2168,2537,1601,13,50,285,581,10
Invalid,2065,1966,1556,13,59,317,468,10
Success,2200,1991,1627,13,50,285,530,10
Invalid,3626,3655,1713,14,52,289,1781,10
Error,2127,1159,1209,10,31,158,302,6
Success,2104,2159,1684,13,50,331,474,10
Invalid,2939,2513,2012,13,59,319,466,10
Invalid,2413,1451,1170,10,29,167,523,6
Invalid,2246,1918,1683,13,50,287,513,10
Invalid,2918,2245,2308,13,50,285,556,10
Invalid,2166,2180,1622,13,50,287,521,10
Error,2269,2181,1289,9,32,159,303,6
Invalid,3183,2304,1673,13,59,321,463,10
Success,2294,2080,1780,13,50,287,517,10
Invalid,4615,5436,1716,14,52,285,3418,10
Regression,2669,2049,1924,13,59,319,512,10
Success,2141,2149,1600,13,50,285,528,10
Success,2164,2007,1677,13,50,289,519,10
Invalid,2258,2166,1659,13,52,287,519,10
Success,2264,2235,1636,13,59,319,507,10
Invalid,1646,2019,1191,12,49,287,355,10
Success,2238,1926,1928,13,50,289,510,10
Success,2326,2503,1659,13,52,289,493,10
Success,2201,1956,1716,13,51,288,518,10
Success,2355,2520,1727,13,52,306,553,10
Regression,4590,5194,1687,14,52,285,3086,10
Invalid,2282,2133,1682,13,59,317,485,10
Success,2414,2335,1802,13,52,289,468,10
Error,2312,2229,1043,9,32,155,280,6
Success,2318,2377,1695,13,52,293,511,10
Success,2253,2233,1694,13,52,285,515,10
Invalid,2440,2916,1818,13,50,331,509,10
Success,2131,2273,1651,13,50,289,525,10
